                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.5312,                0.69056,                 1.1126,                 1.6268,                0.57423,                 1.0938,                0.95637,                0.94509,                0.98284,                0.56783,                  1.313,                0.68147,                0.98472,                 1.3679,                  0.474,                0.99378,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5201,                0.68589,                 1.1001,                 1.6261,                 0.5603,                 1.0859,                 0.9477,                0.95273,                0.98367,                0.57127,                 1.3074,                0.70636,                0.98386,                 1.3567,                0.51267,                0.99289,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5372,                0.68515,                 1.1145,                  1.648,                0.58718,                 1.1004,                0.94502,                0.95075,                 0.9828,                0.55431,                 1.3446,                0.72414,                0.99159,                 1.3818,                0.50429,                0.99732,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5129,                0.66955,                 1.0976,                  1.616,                0.55587,                 1.0825,                0.95896,                0.94069,                0.98585,                0.56616,                 1.3129,                0.65311,                0.98603,                 1.3698,                0.45009,                0.99553,               0.001109,               0.001109,               0.001109
                     48,                 1.4985,                 0.6603,                 1.0947,                 1.6048,                0.53087,                 1.0787,                0.95789,                0.95188,                0.98579,                0.56981,                  1.299,                0.61697,                 0.9791,                 1.3648,                0.43518,                0.99247,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5391,                0.67301,                 1.1186,                 1.6288,                0.54661,                 1.1038,                0.95092,                0.95394,                0.98647,                0.56503,                 1.2968,                0.63119,                0.98181,                 1.3704,                0.44302,                0.99446,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5159,                0.66561,                 1.0932,                 1.6142,                0.54257,                 1.0762,                0.96381,                0.95352,                0.98818,                0.57665,                 1.2965,                0.61975,                0.97662,                 1.3443,                0.41537,                0.98298,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5262,                0.66992,                 1.1083,                 1.6202,                 0.5354,                 1.0932,                0.94737,                0.96531,                0.98714,                0.57171,                 1.3129,                0.62464,                0.98574,                 1.3632,                0.43289,                0.99465,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5187,                0.66505,                 1.1004,                 1.6134,                0.54003,                 1.0825,                0.96115,                0.95738,                0.98832,                0.57882,                 1.2875,                0.61568,                0.97421,                 1.3471,                0.43028,                0.98296,                0.00101,                0.00101,                0.00101
                     53,                 1.5192,                0.66445,                  1.109,                 1.6068,                0.53581,                  1.088,                0.95168,                0.96101,                 0.9866,                0.58051,                 1.2872,                0.58954,                0.97957,                 1.3429,                0.41262,                0.98903,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5038,                0.66019,                 1.0907,                   1.59,                0.53566,                 1.0714,                0.95436,                0.95862,                0.98622,                0.56468,                  1.302,                0.60924,                0.97738,                 1.3539,                0.41997,                0.98635,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5118,                0.65793,                 1.1007,                 1.6029,                0.53616,                 1.0838,                0.95466,                0.95184,                0.98458,                0.57783,                 1.2935,                0.58949,                0.97837,                 1.3493,                0.41925,                0.98887,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4959,                0.65915,                 1.0863,                 1.5918,                0.52677,                 1.0695,                0.95229,                0.96046,                0.98716,                0.57286,                 1.3113,                0.62112,                0.98444,                 1.3548,                0.41853,                0.98715,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4979,                0.64841,                 1.0865,                  1.586,                0.50922,                 1.0643,                0.96058,                0.95415,                0.98712,                0.58087,                 1.2931,                0.61962,                0.97493,                 1.3455,                0.42094,                0.98488,               0.000911,               0.000911,               0.000911
                     58,                 1.4934,                0.64232,                 1.0922,                 1.5915,                0.50622,                 1.0738,                0.95843,                0.96046,                 0.9882,                0.57168,                    1.3,                0.61954,                0.97712,                 1.3628,                0.41973,                0.98833,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4963,                0.64103,                 1.0939,                 1.5897,                0.51655,                 1.0762,                0.95463,                0.96845,                 0.9876,                0.57949,                 1.2825,                0.68746,                0.97419,                 1.3329,                0.43151,                0.98203,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5067,                 0.6504,                 1.1004,                 1.5893,                0.52121,                 1.0808,                0.95852,                0.95739,                0.98688,                0.57739,                 1.3109,                0.72054,                0.98159,                  1.355,                0.46015,                0.98751,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4854,                0.64578,                 1.0943,                 1.5773,                0.50868,                 1.0789,                0.95972,                0.95962,                0.98799,                0.57925,                 1.2834,                0.59035,                0.97266,                 1.3428,                0.41318,                0.98372,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4878,                0.64619,                  1.082,                 1.5909,                0.50805,                 1.0673,                0.95172,                 0.9674,                  0.986,                0.57843,                 1.2809,                0.63763,                0.97114,                 1.3296,                0.41175,                0.97834,               0.000812,               0.000812,               0.000812
                     63,                   1.46,                0.63024,                 1.0848,                 1.5489,                0.49675,                  1.066,                0.96145,                0.96845,                0.98873,                 0.5785,                 1.2842,                0.57975,                0.97246,                 1.3376,                0.38469,                0.97811,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.484,                 0.6391,                 1.0787,                 1.5708,                0.51766,                 1.0558,                0.95706,                 0.9609,                 0.9881,                0.57372,                  1.302,                0.59663,                 0.9779,                 1.3446,                0.41655,                0.98352,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4846,                0.64099,                 1.0879,                 1.5764,                0.50999,                 1.0677,                0.96046,                0.96025,                0.98826,                0.58163,                 1.2862,                0.58639,                0.97357,                 1.3311,                0.40778,                0.98127,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.469,                0.63804,                 1.0858,                 1.5558,                0.49515,                 1.0649,                0.96103,                0.96476,                0.98863,                0.58146,                 1.2814,                0.57983,                0.97053,                 1.3395,                0.40093,                0.98244,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4913,                0.63934,                 1.0915,                 1.5864,                0.50562,                 1.0743,                0.95876,                0.96299,                0.98833,                 0.5818,                  1.276,                0.58873,                0.97316,                 1.3359,                0.39967,                0.98198,               0.000713,               0.000713,               0.000713
                     68,                 1.4795,                0.63163,                 1.0884,                 1.5686,                0.50993,                 1.0641,                0.96258,                  0.963,                0.98908,                0.58245,                 1.2852,                0.59964,                 0.9725,                 1.3439,                0.39797,                0.98269,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.481,                0.63369,                 1.0872,                 1.5708,                0.50088,                 1.0705,                0.96137,                0.96362,                 0.9885,                0.58304,                 1.2672,                0.56953,                0.97069,                 1.3235,                 0.3874,                0.97906,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4708,                 0.6287,                 1.0745,                 1.5528,                0.49515,                 1.0551,                0.96366,                0.96487,                0.98934,                 0.5859,                 1.2722,                0.55017,                0.96874,                 1.3242,                0.38121,                0.97537,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4672,                0.61836,                 1.0911,                 1.5523,                0.48831,                 1.0756,                0.96626,                0.96981,                0.98984,                0.59064,                 1.2597,                0.54317,                0.96272,                  1.313,                0.37317,                0.97001,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4717,                0.62637,                 1.0875,                 1.5492,                 0.4876,                 1.0659,                 0.9659,                0.97287,                0.99042,                0.58758,                 1.2648,                0.54433,                0.96331,                 1.3153,                0.37502,                0.97071,               0.000614,               0.000614,               0.000614
                     73,                 1.4743,                0.62072,                 1.0891,                 1.5583,                0.49178,                 1.0666,                0.96904,                0.96467,                0.98902,                0.58287,                 1.2757,                0.57212,                 0.9683,                 1.3269,                0.39192,                0.97486,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.4604,                0.61029,                 1.0795,                 1.5414,                0.47888,                 1.0596,                0.96858,                0.96551,                0.98973,                0.58913,                 1.2595,                0.54226,                0.96467,                 1.3091,                0.37199,                0.96894,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4712,                0.62769,                 1.0859,                 1.5606,                0.48925,                 1.0669,                0.96789,                0.96236,                0.98952,                0.58695,                 1.2709,                 0.5632,                0.96554,                 1.3148,                0.37806,                0.97123,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4527,                0.61977,                 1.0625,                 1.5336,                0.48211,                 1.0424,                0.96502,                0.96903,                0.98965,                0.58586,                 1.2688,                0.59628,                0.96887,                  1.326,                 0.3911,                0.97806,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4417,                0.61153,                 1.0675,                 1.5223,                0.47546,                 1.0444,                0.96265,                0.96972,                0.98983,                0.59431,                 1.2576,                0.54089,                0.96059,                 1.3061,                0.36913,                0.96587,               0.000515,               0.000515,               0.000515
                     78,                 1.4347,                0.60307,                 1.0736,                 1.5205,                0.46785,                 1.0566,                0.96752,                0.96486,                0.98895,                0.58494,                  1.284,                0.54233,                   0.97,                 1.3407,                0.37747,                 0.9782,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4375,                0.60999,                 1.0732,                 1.5196,                0.47864,                 1.0539,                0.96844,                 0.9693,                0.98984,                0.59225,                 1.2622,                0.54409,                0.96705,                 1.3104,                0.36506,                0.97547,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4355,                0.60022,                 1.0629,                 1.5259,                0.47055,                 1.0434,                0.96884,                0.97266,                0.99121,                0.59184,                 1.2563,                0.53602,                0.96072,                 1.3046,                0.35918,                0.96775,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4421,                0.60478,                 1.0667,                 1.5206,                0.47099,                 1.0474,                 0.9695,                0.96942,                0.99038,                0.58974,                 1.2535,                0.52898,                0.96064,                  1.305,                0.35832,                0.96745,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4336,                0.60509,                 1.0621,                 1.5146,                0.46903,                 1.0392,                 0.9585,                0.97224,                0.98845,                0.59088,                 1.2495,                  0.567,                0.95816,                 1.3008,                0.37281,                0.96574,               0.000416,               0.000416,               0.000416
                     83,                 1.4398,                0.60419,                 1.0694,                 1.5273,                0.47356,                 1.0517,                0.96652,                0.97148,                0.99003,                0.59466,                 1.2546,                0.54259,                 0.9595,                 1.3048,                0.36776,                0.96632,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4416,                0.59842,                 1.0835,                 1.5208,                0.46555,                 1.0646,                0.96749,                0.97329,                0.99052,                0.59551,                 1.2568,                0.53401,                0.96257,                 1.3006,                0.35892,                0.96707,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4331,                0.59652,                   1.06,                 1.5175,                0.46024,                 1.0407,                0.97024,                0.97371,                0.99111,                0.59526,                 1.2497,                0.52307,                0.95892,                 1.3013,                0.35792,                0.96599,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4314,                0.60086,                 1.0783,                 1.5122,                0.46131,                 1.0575,                0.96774,                 0.9714,                0.98991,                0.58871,                 1.2671,                0.53411,                0.96591,                  1.317,                0.36476,                0.97248,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4278,                0.60046,                 1.0679,                  1.513,                0.46724,                 1.0495,                0.96956,                0.97121,                0.99044,                0.59828,                 1.2473,                0.53329,                0.95514,                 1.2935,                0.36938,                0.96112,               0.000317,               0.000317,               0.000317
                     88,                 1.4362,                0.59322,                 1.0587,                 1.5187,                0.46248,                 1.0392,                0.96719,                0.97497,                0.99035,                0.59913,                 1.2392,                0.51972,                 0.9549,                 1.2911,                0.35933,                0.96218,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4218,                0.59466,                 1.0632,                 1.5017,                0.45671,                 1.0431,                0.96386,                0.97595,                0.98924,                0.59622,                 1.2452,                0.53787,                0.95956,                  1.301,                0.36664,                0.96692,              0.0002774,              0.0002774,              0.0002774
